province,year,month,year_month,dengue_cases,case_definition_standardised
AMNAT CHAROEN,2015,1,2015-01,1,Suspected and confirmed
AMNAT CHAROEN,2015,2,2015-02,3,Suspected and confirmed
AMNAT CHAROEN,2015,3,2015-03,4,Suspected and confirmed
AMNAT CHAROEN,2015,4,2015-04,2,Suspected and confirmed
AMNAT CHAROEN,2015,5,2015-05,11,Suspected and confirmed
AMNAT CHAROEN,2015,6,2015-06,64,Suspected and confirmed
AMNAT CHAROEN,2015,7,2015-07,91,Suspected and confirmed
AMNAT CHAROEN,2015,8,2015-08,111,Suspected and confirmed
AMNAT CHAROEN,2015,9,2015-09,80,Suspected and confirmed
AMNAT CHAROEN,2015,10,2015-10,35,Suspected and confirmed
AMNAT CHAROEN,2015,11,2015-11,23,Suspected and confirmed
AMNAT CHAROEN,2015,12,2015-12,12,Suspected and confirmed
AMNAT CHAROEN,2016,1,2016-01,11,Suspected and confirmed
AMNAT CHAROEN,2016,2,2016-02,14,Suspected and confirmed
AMNAT CHAROEN,2016,3,2016-03,18,Suspected and confirmed
AMNAT CHAROEN,2016,4,2016-04,12,Suspected and confirmed
AMNAT CHAROEN,2016,5,2016-05,9,Suspected and confirmed
AMNAT CHAROEN,2016,6,2016-06,24,Suspected and confirmed
AMNAT CHAROEN,2016,7,2016-07,55,Suspected and confirmed
AMNAT CHAROEN,2016,8,2016-08,37,Suspected and confirmed
AMNAT CHAROEN,2016,9,2016-09,17,Suspected and confirmed
AMNAT CHAROEN,2016,10,2016-10,13,Suspected and confirmed
AMNAT CHAROEN,2016,11,2016-11,5,Suspected and confirmed
AMNAT CHAROEN,2016,12,2016-12,2,Suspected and confirmed
AMNAT CHAROEN,2017,1,2017-01,1,Suspected and confirmed
AMNAT CHAROEN,2017,2,2017-02,3,Suspected and confirmed
AMNAT CHAROEN,2017,3,2017-03,2,Suspected and confirmed
AMNAT CHAROEN,2017,4,2017-04,2,Suspected and confirmed
AMNAT CHAROEN,2017,5,2017-05,4,Suspected and confirmed
AMNAT CHAROEN,2017,6,2017-06,34,Suspected and confirmed
AMNAT CHAROEN,2017,7,2017-07,29,Suspected and confirmed
AMNAT CHAROEN,2017,8,2017-08,2,Suspected and confirmed
AMNAT CHAROEN,2017,9,2017-09,5,Suspected and confirmed
AMNAT CHAROEN,2017,10,2017-10,1,Suspected and confirmed
AMNAT CHAROEN,2017,11,2017-11,0,Suspected and confirmed
AMNAT CHAROEN,2017,12,2017-12,0,Suspected and confirmed
AMNAT CHAROEN,2018,1,2018-01,0,Suspected and confirmed
AMNAT CHAROEN,2018,2,2018-02,0,Suspected and confirmed
AMNAT CHAROEN,2018,3,2018-03,2,Suspected and confirmed
AMNAT CHAROEN,2018,4,2018-04,1,Suspected and confirmed
AMNAT CHAROEN,2018,5,2018-05,9,Suspected and confirmed
AMNAT CHAROEN,2018,6,2018-06,37,Suspected and confirmed
AMNAT CHAROEN,2018,7,2018-07,20,Suspected and confirmed
AMNAT CHAROEN,2018,8,2018-08,23,Suspected and confirmed
AMNAT CHAROEN,2018,9,2018-09,16,Suspected and confirmed
AMNAT CHAROEN,2018,10,2018-10,11,Suspected and confirmed
AMNAT CHAROEN,2018,11,2018-11,1,Suspected and confirmed
AMNAT CHAROEN,2018,12,2018-12,0,Suspected and confirmed
AMNAT CHAROEN,2019,1,2019-01,9,Suspected and confirmed
AMNAT CHAROEN,2019,2,2019-02,2,Suspected and confirmed
AMNAT CHAROEN,2019,3,2019-03,6,Suspected and confirmed
AMNAT CHAROEN,2019,4,2019-04,9,Suspected and confirmed
AMNAT CHAROEN,2019,5,2019-05,58,Suspected and confirmed
AMNAT CHAROEN,2019,6,2019-06,48,Suspected and confirmed
AMNAT CHAROEN,2019,7,2019-07,28,Suspected and confirmed
AMNAT CHAROEN,2019,8,2019-08,24,Suspected and confirmed
AMNAT CHAROEN,2019,9,2019-09,66,Suspected and confirmed
AMNAT CHAROEN,2019,10,2019-10,47,Suspected and confirmed
AMNAT CHAROEN,2019,11,2019-11,21,Suspected and confirmed
AMNAT CHAROEN,2019,12,2019-12,1,Suspected and confirmed
AMNAT CHAROEN,2020,1,2020-01,0,Suspected and confirmed
AMNAT CHAROEN,2020,2,2020-02,2,Suspected and confirmed
AMNAT CHAROEN,2020,3,2020-03,4,Suspected and confirmed
AMNAT CHAROEN,2020,4,2020-04,1,Suspected and confirmed
AMNAT CHAROEN,2020,5,2020-05,13,Suspected and confirmed
AMNAT CHAROEN,2020,6,2020-06,18,Suspected and confirmed
AMNAT CHAROEN,2020,7,2020-07,27,Suspected and confirmed
AMNAT CHAROEN,2020,8,2020-08,23,Suspected and confirmed
AMNAT CHAROEN,2020,9,2020-09,9,Suspected and confirmed
AMNAT CHAROEN,2020,10,2020-10,3,Suspected and confirmed
AMNAT CHAROEN,2020,11,2020-11,0,Suspected and confirmed
AMNAT CHAROEN,2020,12,2020-12,0,Suspected and confirmed
AMNAT CHAROEN,2021,1,2021-01,0,Suspected and confirmed
AMNAT CHAROEN,2021,2,2021-02,0,Suspected and confirmed
AMNAT CHAROEN,2021,3,2021-03,0,Suspected and confirmed
AMNAT CHAROEN,2021,4,2021-04,2,Suspected and confirmed
AMNAT CHAROEN,2021,5,2021-05,3,Suspected and confirmed
AMNAT CHAROEN,2021,6,2021-06,0,Suspected and confirmed
AMNAT CHAROEN,2021,7,2021-07,0,Suspected and confirmed
AMNAT CHAROEN,2021,8,2021-08,5,Suspected and confirmed
AMNAT CHAROEN,2021,9,2021-09,0,Suspected and confirmed
AMNAT CHAROEN,2021,10,2021-10,0,Suspected and confirmed
AMNAT CHAROEN,2021,11,2021-11,0,Suspected and confirmed
AMNAT CHAROEN,2021,12,2021-12,0,Suspected and confirmed
AMNAT CHAROEN,2022,1,2022-01,0,Suspected and confirmed
AMNAT CHAROEN,2022,2,2022-02,0,Suspected and confirmed
AMNAT CHAROEN,2022,3,2022-03,0,Suspected and confirmed
AMNAT CHAROEN,2022,4,2022-04,0,Suspected and confirmed
AMNAT CHAROEN,2022,5,2022-05,0,Suspected and confirmed
AMNAT CHAROEN,2022,6,2022-06,1,Suspected and confirmed
AMNAT CHAROEN,2022,7,2022-07,0,Suspected and confirmed
AMNAT CHAROEN,2022,8,2022-08,0,Suspected and confirmed
AMNAT CHAROEN,2022,9,2022-09,0,Suspected and confirmed
AMNAT CHAROEN,2022,10,2022-10,0,Suspected and confirmed
AMNAT CHAROEN,2022,11,2022-11,0,Suspected and confirmed
AMNAT CHAROEN,2022,12,2022-12,0,Suspected and confirmed
ANG THONG,2015,1,2015-01,9,Suspected and confirmed
ANG THONG,2015,2,2015-02,9,Suspected and confirmed
ANG THONG,2015,3,2015-03,15,Suspected and confirmed
ANG THONG,2015,4,2015-04,36,Suspected and confirmed
