province,year_month,dengue_cases,temperature,humidity,rainfall
AMNAT CHAROEN,2015-01,1,22.64,57.93,0.01
AMNAT CHAROEN,2015-02,3,25.99,58.08,0.91
AMNAT CHAROEN,2015-03,4,30.41,50.11,0.45
AMNAT CHAROEN,2015-04,2,31.24,47.76,0.9
AMNAT CHAROEN,2015-05,11,30.24,64.45,3.06
AMNAT CHAROEN,2015-06,64,29.27,69.24,3.42
AMNAT CHAROEN,2015-07,91,26.85,82.46,6.92
AMNAT CHAROEN,2015-08,111,26.32,88.83,6.08
AMNAT CHAROEN,2015-09,80,26.66,87.2,4.99
AMNAT CHAROEN,2015-10,35,25.93,81.07,3.2
AMNAT CHAROEN,2015-11,23,27.09,73.3,0.57
AMNAT CHAROEN,2015-12,12,25.67,62.49,0.0
AMNAT CHAROEN,2016-01,11,25.37,60.98,0.55
AMNAT CHAROEN,2016-02,14,23.43,52.65,0.0
AMNAT CHAROEN,2016-03,18,29.83,45.39,0.02
AMNAT CHAROEN,2016-04,12,33.8,42.42,1.02
AMNAT CHAROEN,2016-05,9,30.08,68.84,4.39
AMNAT CHAROEN,2016-06,24,27.63,82.57,8.71
AMNAT CHAROEN,2016-07,55,26.38,88.67,7.93
AMNAT CHAROEN,2016-08,37,26.59,88.74,9.3
AMNAT CHAROEN,2016-09,17,26.48,89.17,15.72
AMNAT CHAROEN,2016-10,13,26.35,86.8,3.57
AMNAT CHAROEN,2016-11,5,24.22,86.94,1.18
AMNAT CHAROEN,2016-12,2,22.04,82.78,0.17
AMNAT CHAROEN,2017-01,1,23.69,72.29,0.06
AMNAT CHAROEN,2017-02,3,23.87,63.66,0.06
AMNAT CHAROEN,2017-03,2,27.59,64.5,2.88
AMNAT CHAROEN,2017-04,2,29.46,62.52,3.15
AMNAT CHAROEN,2017-05,4,27.97,80.79,10.09
AMNAT CHAROEN,2017-06,34,26.45,90.32,11.94
AMNAT CHAROEN,2017-07,29,25.69,92.61,21.32
AMNAT CHAROEN,2017-08,2,26.43,90.49,9.65
AMNAT CHAROEN,2017-09,5,27.05,87.91,9.25
AMNAT CHAROEN,2017-10,1,25.12,87.78,3.37
AMNAT CHAROEN,2017-11,0,23.67,85.69,0.32
AMNAT CHAROEN,2017-12,0,21.46,77.64,0.12
AMNAT CHAROEN,2018-01,0,23.49,68.77,0.01
AMNAT CHAROEN,2018-02,0,23.78,61.96,0.37
AMNAT CHAROEN,2018-03,2,27.13,62.97,2.81
AMNAT CHAROEN,2018-04,1,29.01,60.49,2.15
AMNAT CHAROEN,2018-05,9,28.53,75.07,5.82
AMNAT CHAROEN,2018-06,37,26.63,87.36,9.57
AMNAT CHAROEN,2018-07,20,25.79,91.39,20.7
AMNAT CHAROEN,2018-08,23,25.52,92.21,13.12
AMNAT CHAROEN,2018-09,16,26.78,87.09,7.97
AMNAT CHAROEN,2018-10,11,25.88,84.85,1.08
AMNAT CHAROEN,2018-11,1,24.85,82.01,0.26
AMNAT CHAROEN,2018-12,0,24.6,74.01,0.47
AMNAT CHAROEN,2019-01,9,24.06,66.51,0.0
AMNAT CHAROEN,2019-02,2,28.94,55.59,0.82
