province,lat,lon
An Giang,10.5149,105.1132
Bà Rịa - Vũng Tàu,10.5539,107.1772
Bắc Giang,21.3093,106.6165
Bắc Kạn,22.2572,105.8589
Bạc Liêu,9.3477,105.5097
Bắc Ninh,21.1212,106.0880
Bến Tre,10.2464,106.3756
Bình Định,13.7716,109.2144
Bình Dương,11.0827,106.6698
Bình Phước,11.5392,106.7441
Bình Thuận,10.9329,108.1368
Cà Mau,9.1769,105.1472
Cần Thơ,10.0451,105.7469
Cao Bằng,22.6644,106.2942
Đà Nẵng,16.0544,108.2022
Đắk Lắk,12.6723,108.0384
Đắk Nông,12.0003,107.7289
Điện Biên,21.3860,103.0132
Đồng Nai,10.9509,106.8407
Đồng Tháp,10.4650,105.6453
Gia Lai,13.9856,108.0033
Hà Giang,22.8258,104.9789
Hà Nam,20.5401,105.9083
Hà Nội,21.0285,105.8542
Hà Tĩnh,18.3375,105.9036
Hải Dương,20.9379,106.3155
Hải Phòng,20.8561,106.6749
Hậu Giang,9.7891,105.6792
Hòa Bình,20.8173,105.3377
Hưng Yên,20.6483,106.0514
Khánh Hòa,12.2497,109.1722
Kiên Giang,10.0159,105.0864
Kon Tum,14.3353,107.9944
Lai Châu,22.3992,103.4519
Lâm Đồng,11.9404,108.4357
Lạng Sơn,21.8486,106.7623
Lào Cai,22.4811,103.9836
Long An,10.5401,106.4014
Nam Định,20.4210,106.1667
Nghệ An,18.6667,105.6667
Ninh Bình,20.2556,105.9744
Ninh Thuận,11.5647,108.9868
Phú Thọ,21.3259,105.2131
Phú Yên,13.0924,109.3241
Quảng Bình,17.4818,106.5989
Quảng Nam,15.5684,108.4871
Quảng Ngãi,15.1219,108.7844
Quảng Ninh,20.9575,107.0722
Quảng Trị,16.7495,107.0673
Sóc Trăng,9.5998,105.9754
Sơn La,21.3283,103.9056
Tây Ninh,11.3653,106.1084
Thái Bình,20.4489,106.3364
Thái Nguyên,21.5872,105.8422
Thanh Hóa,19.8037,105.7765
Thừa Thiên Huế,16.4637,107.5908
Tiền Giang,10.3609,106.3475
TP Hồ Chí Minh,10.7769,106.6958
Trà Vinh,9.6521,106.3421
Tuyên Quang,21.8170,105.2344
Vĩnh Long,10.2505,105.9614
Vĩnh Phúc,21.3094,105.5994
Yên Bái,21.7001,104.8953
