province,month,temperature,humidity,rainfall
An Giang,201501,26.7,65.24,0.15
An Giang,201502,28.37,57.01,0.19
An Giang,201503,30.79,54.82,0.1
An Giang,201504,30.69,63.48,2.57
An Giang,201505,30.79,67.68,1.85
An Giang,201506,28.73,77.18,5.82
An Giang,201507,27.93,82.48,2.92
An Giang,201508,27.25,85.76,6.04
An Giang,201509,27.1,87.44,7.89
An Giang,201510,27.17,86.1,3.54
An Giang,201511,27.26,84.95,4.2
An Giang,201512,27.63,75.02,0.74
An Giang,201513,28.37,74.02,3.0
An Giang,201601,28.61,67.68,0.73
An Giang,201602,29.7,54.07,0.17
An Giang,201603,31.42,52.8,0.05
An Giang,201604,32.54,54.55,0.07
An Giang,201605,30.77,70.29,6.81
An Giang,201606,27.76,84.69,5.51
An Giang,201607,27.38,85.96,4.64
An Giang,201608,27.44,85.81,3.75
An Giang,201609,27.23,86.0,8.11
An Giang,201610,26.53,90.52,9.21
An Giang,201611,26.81,88.22,6.26
An Giang,201612,25.87,85.58,2.19
An Giang,201613,28.5,75.6,3.97
An Giang,201701,26.54,79.17,1.7
An Giang,201702,27.45,70.71,1.23
An Giang,201703,29.01,67.06,1.22
An Giang,201704,29.78,70.53,3.01
An Giang,201705,28.88,80.41,6.0
An Giang,201706,27.97,83.44,3.66
An Giang,201707,27.3,85.11,6.81
An Giang,201708,27.11,88.5,8.87
An Giang,201709,27.47,87.74,6.34
An Giang,201710,26.96,86.89,6.03
An Giang,201711,26.67,88.06,4.51
An Giang,201712,25.38,82.15,2.5
An Giang,201713,27.54,80.88,4.35
An Giang,201801,26.43,79.54,3.91
An Giang,201802,26.15,74.22,0.42
An Giang,201803,28.78,69.8,3.5
An Giang,201804,29.71,69.32,4.1
An Giang,201805,28.56,80.36,6.74
An Giang,201806,27.11,89.04,11.45
An Giang,201807,26.81,90.51,12.07
An Giang,201808,26.66,89.56,6.18
An Giang,201809,26.77,88.62,8.63
An Giang,201810,26.95,87.07,6.83
An Giang,201811,26.83,85.21,2.01
An Giang,201812,27.09,81.57,3.47
An Giang,201813,27.33,82.12,5.81
An Giang,201901,25.97,76.59,1.16
An Giang,201902,28.11,67.48,0.19
An Giang,201903,30.53,58.89,0.86
An Giang,201904,31.24,63.12,1.74
An Giang,201905,29.08,81.99,8.57
An Giang,201906,27.77,88.96,14.89
An Giang,201907,27.09,89.74,9.75
An Giang,201908,26.99,91.12,15.07
An Giang,201909,26.85,89.02,11.92
An Giang,201910,27.1,87.41,5.15
An Giang,201911,26.46,84.67,2.37
An Giang,201912,26.0,74.86,0.01
An Giang,201913,27.76,79.56,6.0
An Giang,202001,27.9,66.83,0.67
An Giang,202002,29.28,55.44,0.06
An Giang,202003,30.76,59.32,0.84
An Giang,202004,29.79,71.28,5.2
An Giang,202005,30.12,75.34,4.53
An Giang,202006,27.53,88.25,29.51
An Giang,202007,27.41,87.18,8.12
An Giang,202008,27.19,89.03,9.23
An Giang,202009,27.2,88.28,16.13
An Giang,202010,26.52,90.73,15.62
An Giang,202011,26.53,87.3,5.51
An Giang,202012,25.16,86.24,2.76
An Giang,202013,27.94,78.84,8.16
An Giang,202101,24.69,77.92,0.81
An Giang,202102,26.98,69.95,0.8
An Giang,202103,30.47,58.6,0.4
An Giang,202104,28.93,75.71,6.03
An Giang,202105,28.08,85.48,12.63
An Giang,202106,27.33,88.37,6.41
An Giang,202107,27.16,89.05,14.83
An Giang,202108,27.06,88.87,11.48
An Giang,202109,26.58,89.87,14.75
An Giang,202110,26.78,89.49,8.29
An Giang,202111,26.36,90.69,8.89
An Giang,202112,24.83,86.0,0.9
An Giang,202113,27.1,82.56,7.22
An Giang,202201,26.41,76.84,0.16
An Giang,202202,28.33,70.54,2.02
An Giang,202203,29.05,72.44,5.54
An Giang,202204,27.99,81.86,6.34
An Giang,202205,27.78,86.07,7.57
An Giang,202206,27.55,86.98,6.87
An Giang,202207,27.15,89.3,14.08
An Giang,202208,26.78,89.48,11.52
An Giang,202209,26.71,89.59,11.02
An Giang,202210,26.58,88.15,7.08
An Giang,202211,26.42,88.79,6.55
An Giang,202212,24.6,84.54,1.3
An Giang,202213,27.1,83.79,6.7
An Giang,202301,25.46,77.89,1.62
An Giang,202302,27.63,70.39,0.3
An Giang,202303,29.79,56.73,0.01
An Giang,202304,30.73,67.75,1.81
An Giang,202305,30.02,74.57,5.25
An Giang,202306,28.26,84.53,5.97
An Giang,202307,27.63,86.82,11.08
An Giang,202308,27.75,87.28,5.21
An Giang,202309,27.16,89.72,16.35
An Giang,202310,27.62,87.44,10.12
An Giang,202311,26.41,89.38,6.34
An Giang,202312,26.41,84.68,1.53
An Giang,202313,27.91,79.81,5.48
An Giang,202401,27.2,73.0,0.07
An Giang,202402,29.79,61.87,0.01
An Giang,202403,31.39,56.76,0.53
An Giang,202404,33.61,53.05,0.06
An Giang,202405,30.95,73.2,7.02
An Giang,202406,28.41,85.01,9.41
An Giang,202407,27.3,90.26,18.09
An Giang,202408,27.79,89.14,8.99
An Giang,202409,27.23,90.66,15.44
An Giang,202410,27.26,88.39,10.56
An Giang,202411,27.02,86.88,3.45
An Giang,202412,25.62,83.06,1.57
An Giang,202413,28.62,77.68,6.29
An Giang,202501,25.98,69.03,0.15
An Giang,202502,28.73,63.23,0.78
An Giang,202503,30.76,57.85,1.29
Bà Rịa - Vũng Tàu,201501,26.1,68.05,0.09
Bà Rịa - Vũng Tàu,201502,26.45,66.19,0.0
Bà Rịa - Vũng Tàu,201503,28.5,65.46,0.01
Bà Rịa - Vũng Tàu,201504,30.07,64.04,0.17
Bà Rịa - Vũng Tàu,201505,30.46,68.47,2.24
Bà Rịa - Vũng Tàu,201506,28.49,78.78,7.33
Bà Rịa - Vũng Tàu,201507,27.6,84.74,6.14
